X	Y	Z
4298568.809	5507182.098	143.56
4298568.95	5507051.15	142.59
4298569.14	5506951.68	143.403
4298569.16	5507156.68	142.592
4298569.16	5506785.73	144.56
4298569.21	5507044.74	143.67
4298569.39	5506983.09	143.461
4298569.409	5507207.917	147.93
4298569.48	5507018.81	141.681
4298569.76	5507046.79	142.652
4298570.12	5506977.19	141.767
4298570.22	5507024.73	141.651
4298570.31	5506957.55	143.34
4298570.53	5506989.18	143.465
4298570.75	5506802.68	144.18
4298570.91	5507164.97	142.823
4298570.96	5507030.66	141.622
4298571.48	5506963.42	143.277
4298571.63	5507161.51	142.604
4298571.68	5506995.28	143.469
4298571.811	5507191.104	144.06
4298571.85	5506983.1	141.757
4298572.08	5507168.08	141.657
4298572.24	5507108.66	142.15
4298572.29	5506835.25	143.88
4298572.6	5506969.3	143.166
4298572.73	5507001.39	143.455
4298572.82	5506937.76	143.63
4298573	5507036	143.76
4298573.39	5506989.06	141.738
4298573.67	5506975.19	143.016
4298573.75	5507007.5	143.435
4298574.338	5506881.178	144.09
4298574.52	5506995.11	141.704
4298574.61	5506891.63	143.73
4298574.77	5507013.62	143.415
4298574.81	5506981.07	142.974
4298574.813	5507223.978	144.79
4298574.93	5507061.28	142.64
4298575	5507019.8	143.465
4298575	5507026	143.57
4298575	5507046	143.69
4298575.55	5507047.73	142.657
4298575.65	5507001.16	141.67
4298575.99	5506986.94	142.98
4298576.17	5507123.15	142.2
4298576.31	5507165.25	142.485
4298576.39	5506952.03	143.57
4298577.23	5507007.1	141.619
4298577.49	5506849.33	143.94
4298577.56	5506992.72	142.99
4298577.75	5507042.75	142.49
4298578.54	5507039.07	142.366
4298578.86	5507075.76	142.6
4298579	5507013	141.56
4298579	5506998.51	142.988
4298579.09	5506904.65	143.74
4298579.26	5507158.51	142.236
4298579.41	5507004.44	142.827
4298579.59	5506809.75	144.49
4298579.617	5507210.919	143.87
4298579.67	5506768.54	144.61
4298580.1	5507137.63	142.27
4298580.19	5507179.97	142.126
4298580.33	5506966.52	143.43
4298580.43	5507026.74	141.255
4298580.51	5507023.94	141.286
4298580.643	5506866.167	144.07
4298580.65	5507029.53	141.231
4298580.81	5507021.15	141.324
4298580.99	5507169	142.41
4298581.06	5507009.81	142.625
4298581.06	5507199.62	142.71
4298581.2	5507026.82	140.603
4298581.22	5507044.43	142.399
4298581.28	5507024.03	140.628
4298581.31	5507032.25	141.222
4298581.38	5507018.41	141.358
4298581.45	5507029.61	140.584
4298581.57	5507021.25	140.659
4298582.1	5507032.33	140.58
4298582.13	5507018.52	140.685
4298582.26	5507034.88	141.22
4298582.36	5507015.79	141.36
4298582.38	5507027.18	140.372
4298582.44	5507024.4	140.398
4298582.64	5507029.94	140.351
4298582.75	5507021.64	140.428
4298582.78	5507004.07	142.78
4298582.79	5507090.25	142.5
4298583.02	5506995.15	143.09
4298583.02	5506919.14	143.81
4298583.03	5507034.96	140.585
4298583.08	5507015.89	140.681
4298583.27	5507032.65	140.345
4298583.31	5507018.92	140.453
4298583.37	5507223.528	144.5
4298583.38	5507184.97	141.937
4298583.47	5507037.41	141.219
4298583.54	5507013.24	141.35
4298583.63	5507027.55	140.289
